text,confidence
POLEVKY,1
MASA NA GRILU,0.8
OMACKY K MASUM DLE VYBERU,1
30g Peprova - tepla,0.7739062499999992
30g Hribkova - tepla,0.7737499999999995
30g Chilli - studena,0.7568750000000001
Pesto - studena,0.7968749999999996
Cesnekova - studena,0.8322368421052636
30g Tatarska omacka - studena,0.8075
MINUTKOVA JIDLA,1
www.grranddoksy.cz www.facebook.com/HotelGrandDoksy/,0.929963235294117
TESTOVINY A BEZMASA JIDLA,0.8
Parmezanem,0.7791118421052633
HOTOVA JIDLA,1
RYBY,0.9582043343653279
SALATY,1
DEZERTY,0.9791021671826623
italskou mlecnou cokoladou Chiara,0.7906250000000004
DETSKA JIDLA,1
PRILOHY,1
