text,confidence
HLAVNI JIDLA,1
VEPROVA LICKA,1
POLEVKY,0.85
FLANK STEAK,1
HOVEZI VYVAR,0.85
MEDAILONKY Z PANENKY,1
CESNECKA,1
STEAK Z PANENKY,0.85
HOVEZI BURGER,1
DLE DENNI NABIDKY,1
karamelizovana cibulka, slanina, zelenina, dip,0.803217213114754
FILIROVANE KURECI PRSO,1
se smetanovym spenatem, gratinovany brambor,0.8452663934426199
MASITE ZEBRA,1
NAKLADANE,0.85
CAESAR SALAT,0.85
TATARAK,0.8499999999999984
SMAZENE,0.85
SMAZENA GOUDA,0.85
1. MARGHERITA,0.8075
drcena rajcata, mozzarella, cerstva bazalka,0.8662909836065554
DETSKA JIDLA,1
2. PROSCIUTTO,0.8075
SMAZENY SYR,1
drcena rajcata, mozzarella, sunka,0.8660963114754092
drcena rajcata, mozzarella, gouda,0.8662909836065572
4. FUNGHI,0.8075
drcena rajcata, mozzarella, zampiony,0.7719236680327846
5. TVARGLIATELLE,0.8075
NOVINKA,0.8499999999999984
HALLOUMI BURGER,1
DEZERTY,0.9999999999999982
7. SALAMI,0.8074999999999986
DOMACI TIRAMISU,0.8499999999999984
drcena rajcata, mozzarella, Sunka, anglicka,0.8242418032786896
slanina, pikant salam,0.7613627049180351
14. AL TONNO,0.8075
drcena rajcata, mozzarella, tunak, cibule,0.8873155737704901
15. PROSCIUTTO CRUDO,0.8075
8. FITALLIONE,0.8074999999999986
rajce, prosciutto crudo, rukola, parmezan,0.7821926229508168
9. SPINACHI,0.8075
16. HALLOUMI,0.8075
PIZZA BROD,1
bylinkovy, cesnekovy, syrovy,0.8074999999999986
11. CON POLLO,0.8075
PRISADY NAVIC,1
CIBULE,0.7751024590163902
zeli, jalapenos,0.7821926229508149
SLANINA,0.7751024590163933
13. VEGETARIANA,0.8074999999999986
CHORIZO,0.8123770491803244
SYR GOUDA,0.7937397540983603
JALAPENO,0.85
SUNKA,0.7939139344262288
