text,confidence
Degustachi menu,0.7625544267053693
bila fedkev, pazitka,0.7942634252539897
Specialni nabidka,1
Polevka,0.9061683599419437
bila redkev, pazitka,0.905533381712626
Bouillabaisse,0.8102140783744548
safranova majoneza, toast,0.9274564586357023
Hlavni chody,0.9061683599419432
safranove rizoto, chrest, bazalka,0.9274564586357023
Dezerty,0.9531930333817048
horka cokolada, jahodova omacka,0.9497931785195932
Moelleux aux Chocolat,1
Syry,0.9762699564586282
Variace italskych syru, domaci marmelada,0.8499999999999991
