text,confidence
C,1
Fidelni listek,0.8
Poradame:,0.755616721142269
Svatebni hostiny,0.9722604507139181
Rauty,0.8889127816961996
Skoleni,1
Rodinne a podnikove oslavy,1
Abiturientske srazy,1
Firemni vecirky,0.9861947359366948
Smutecni hostiny,0.9584551866506111
Zarizujeme:,0.9166523309822827
Ubytovani,0.7555135042146931
Pikniky v prirode,0.8
Pronajimame:,0.9584551866506111
Rezervace na telefonu:,1
Ostiepok,0.7792641493204896
Polevky,1
Nase rybi speciality,1
z Jihoceskych rybniku,0.76
a slaninovymi zavitky se svestkami,0.8075
zdobeny citronem,0.7625964433167047
Speciality nasi kuchyne,1
s hermelinem a brusinkami,0.7738483786340966
slaninou a domacimi bramborovymi plackami,0.8075
Doporucujeme omacky: hribkova, spenatovo-nivova, cesnekova,0.9723894718733891
31. 200g Domaci bramborak,0.7851003139514893
do parmske sunky,0.8075
prelita brusinkovym dipem,0.8075
s pecenou repouv balzamikovem octu,0.773952563220369
domacim bramborovym slaatem s majorankou,0.8075
Pergamen plny grilovanych mas,1
Steaky z veproviny,0.85
se susenymi rajcaty,0.7625964433167047
Jidla na objednavku den predem,0.8
do zlatova osmazenou cibulkou,0.7628048124892496
houskoveho, bramboroveho, spekoveho knedliku, bileho nebo,0.76
Zahranicni speciality,1
specialnimi omackami a rozpecenou bagetkou,0.8075
pecene brambory a bagetky,0.8075
Speciality vojevudcu a hejtmanu,1
steakove hranolky a cerstva zelenina,0.7625964433167047
Z kuchyne nasich,1
Slovenskych bratri,1
a rozpecene slaniny,0.8075
a kysanym zelim,0.7962480646826101
Bezmasa jidla,1
83. 200g Svycarske syrove fondue,0.8075
Speciality,1
a syrem "Grana Padano",0.8075
Nase salaty,1
a platky pomerance,0.8075
pecena kureci prsa,0.7851003139514893
Horka laska,0.9722604507139175
Prilohy,1
sypane slunecnicovym a sezamovym seminkem,0.7625964433167047
Napojovy listek,1
Aperitivy,0.9861947359366952
Becherovka Original,0.8264213831068303
Aperol,0.7555758644417696
Campari,0.7674200068811293
Cinzano Bianco, Rosso, Extra Dry,0.8145772406674706
Sekty,0.9029760880784462
Bohemia sekt Prestige, Demi, Brut,0.8264213831068318
Bohemia sekt,0.75557586444177
Champagne,0.9443918802683652
Dom Perigon - Champagne,0.85
Bourbon, Whisky,1
Maker's Mark,0.7792641493204896
Jacka Daniels Honey,0.838265525546191
Scotch Whisky Blended,0.9861947359366954
Passport Scotch,0.7792641493204896
The Famous Grouse,0.7792641493204896
J. Walker Red Label,0.8264213831068308
Irish Whiskey,1
Jameson Caskmates,0.7908889557887506
Jameson Select Reserve Black barell,0.8028427662136598
Bushmills single malt,0.8382655255461935
Vodka,0.8749784964734229
Absolut, Kurant, Citron, Ruby Red,0.85
Russian Standard Original,0.8264213831068308
Russian Standard-Imperia Platinum,0.8028427662136602
Koskenkorva Peach,0.8028427662136598
Gin,0.8334336831240329
Havana Club Rum,0.93058661620506
Havana Club Anejo Especial,0.85
Havana Barel Proof,0.85
Havana Club Seleccion de Maestros,0.8027330982281103
Rum,0.8055651126784805
Matusalem Gran Reserva,0.8029524341992091
Cognac,0.8889127816961993
Maretll Cordon Bleu,0.7909986237743004
Remy Martin Coeur de Cognac,0.8264213831068308
Godet XO,0.7909986237743
Metaxa,0.874978496473424
Metaxa honey,0.7792641493204896
Tequila,0.9443918802683652
Olmeca blanco, reposado,0.7909986237743
Olmeca Plata, reposado,0.9860657147772284
Likery bylinne,1
Becherovka,0.7792641493204898
Becherovka Lemond,0.7792641493204899
Jagermeister ledove namrazeny,0.85
Fernet Stock Citrus,0.7555758644417696
R Hill Alpsky,0.85
Likery,0.9166523309822827
Pisang Ambon,0.7792641493204896
Berentzen - Saurer apfel,0.8498903320144505
Peprmintovy liker,0.7909986237743
Puschkin,0.7555758644417663
Puschkin Time warp, Black,0.85
Michane napoje,1
Maxi drink pro vice osob,1
MaxiMojito,0.9165233098228116
Pivo tocene,0.8889127816962001
Nealko pivo,0.9861947359366937
Nealko napoje,0.9445209014278356
Pepsi light,0.8264213831068308
Cafe Reserva,0.9445209014278356
Videnska kava,0.7791544813349403
Turecka kava,0.81468690865302
Alzirska kava,0.8027330982281103
Irska kava,0.7675296748666792
Teple napoje,0.9722604507139186
Horka italska cokolada,0.8264213831068318
Grog,0.7673103388955805
Horka griotka,0.8264213831068308
Pochutiny,0.8751075176328926
Chipsy solene,0.8264213831068318
Susenka, bonbonek,0.8498903320144505
