text,confidence
JIDELNI LISTEK,1
SAUCE,0.7927499329938357
Napoje,1
Aperitivni napoje / Aperitif,1
Hugo Spritz (Prosecco, bezovy sirup, soda,0.7999999999999986
Lahvove Pivo / Bottled Beer,0.9523586169927646
Domaci limonada dle aktualni nabidky,1
Dzus / juice,0.9362771374966492
Ostatni nealko / other soft drinks,0.7872956311980692
Teple napoje / warm drinks,1
Svarene cervene vino se skorici, hrebickem,0.7872956311980692
Mlecna cokolada se slehackou,1
Cokolada Grand Marnier,0.9680380595014746
/ oak barrel pear,0.9349135620477079
dle puvodniho francouzskeho receptu,0.95
Tequila El Jimador blanco, reposado,0.8365016081479484
Irish whiskey,0.9045162154918247
Scotch blended,0.920396676494237
Single malt whisky,0.9841195389975864
American whiskey,1
Cocktails,0.888434735995712
Soft Cocktails,0.9041141785044183
Hennessy,1
COGNAC,0.8407933529884739
Jidelni listek,1
Vitame Vas,0.952358616992761
Dekujeme Vam, nasim zakaznikum, za prizen,0.8
Nasi partneri,0.968239077995172
FARMARSKY DUM,0.85
Farma,1
Basarovi,1
Akvaponicka farma Lanov,1
s topinkami a cesnekem,0.8743768426695246
tenke platky prvotridni marinovane hovezi,0.9499999999999983
a zampionu, podavame s toasty,0.95
koprovym olejem, s cuketou, pecenymi,0.904740686143123
cherry rajcatky, bylinkova bagetka,0.95
Polevky,1
Pasta,1
Parmezanem,0.8884347359957084
Salaty,1
bylinkova bagetka,0.9349135620477087
Parmezanem a pikantnim horcicnym dresingem,1
Ryby,1
podavany s pyre z batatu,0.95
petrzelove brambory,0.95
Domaci kuchyne,1
zemlovym knedlikem,0.9047406861431263
podavany s domacim zemlovym knedlikem,0.9499999999999974
Grill,1
brambory se slaninou,0.934913562047707
a miso pastou,0.8134581881533087
bylinkovou bagetou,0.9349135620477087
grilovany klas,0.95
cuketou,0.8138401232913423
slupce s cesnekovou smetanou,0.874376842669523
Prilohy,1
Smazene bramborove hranolky,0.8365016081479492
Detska jidla,1
testoviny s domaci masovou smesi,0.904740686143123
bramborove hranolky,0.934913562047707
pyre z batatu,0.8894632806218167
TEL.: 605 886 863,0.85
