text,confidence
HLAVNI JIDLA,0.95
VEPROVA LICKA,0.95
POLEVKY,0.8415
HOVEZI VYVAR,0.8415
CESNECKA,0.99
HOVEZI BURGER,0.95
NAKLADANE,0.8415
CAESAR SALAT,0.8415
TATARAK,0.8414999999999985
SMAZENE,0.8075
SMAZENA GOUDA,0.8075
1. MARGHERITA,0.7994249999999999
drcena rajcata, mozzarella, cerstva bazalka,0.8576280737704899
DETSKA JIDLA,0.99
2. PROSCIUTTO,0.7994249999999999
SMAZENY SYR,0.99
drcena rajcata, mozzarella, sunka,0.8574353483606552
drcena rajcata, mozzarella, gouda,0.8576280737704917
4. FUNGHI,0.7994249999999999
drcena rajcata, mozzarella, zampiony,0.7642044313524567
5. TVARGLIATELLE,0.7994249999999999
NOVINKA,0.8414999999999985
HALLOUMI BURGER,0.95
DEZERTY,0.9899999999999982
7. SALAMI,0.7994249999999986
DOMACI TIRAMISU,0.8414999999999985
drcena rajcata, mozzarella, Sunka, anglicka,0.8159993852459027
slanina, pikant salam,0.7537490778688548
14. AL TONNO,0.7994249999999999
drcena rajcata, mozzarella, tunak, cibule,0.8784424180327852
15. PROSCIUTTO CRUDO,0.7994249999999999
8. FITALLIONE,0.7994249999999986
rajce, prosciutto crudo, rukola, parmezan,0.7743706967213086
9. SPINACHI,0.7994249999999999
16. HALLOUMI,0.7994249999999999
PIZZA BROD,0.99
bylinkovy, cesnekovy, syrovy,0.7994249999999986
11. CON POLLO,0.7994249999999999
PRISADY NAVIC,0.99
zeli, jalapenos,0.7743706967213068
SLANINA,0.7673514344262293
13. VEGETARIANA,0.7994249999999986
CHORIZO,0.8042532786885211
SYR GOUDA,0.7858023565573766
JALAPENO,0.8415
SUNKA,0.7859747950819665
