text,confidence
NAPOJE,0.9
DRINKS, GETRANKE,0.95
Martini Bianco, Rosso, Extra Dry,0.765
Campari,0.7879051827441587
Aperol,0.7879051827441578
PIVO, BEER, BIER,0.9269472738166553
Birell - nealkoholicke, nonalcoholic, alkoholfreie,0.8075
Mattoni, mineral water, mineralwasser,0.8075
Toma juice,0.8075
Schweppes Tonic/Ginger,0.8075
Pepsi Cola / Light,0.8075
COGNAC / BRANDY,0.9269472738166572
Metaxa* ****,0.7877237492510494
WHISKY & BOURBON,0.8808418214499719
Johny Walker,0.8073185665068907
Tullamore Dew,0.7877237492510494
Jim Beam,0.7879051827441553
Four Roses,0.8075
Jack Daniels/Honey/Fire,0.8075
GIN,0.7660050928699862
Bombay Saphire,0.8075
Beefeater Gin,0.807137133013775
VODKA,0.8812687237866986
TEQUILA,0.880841821449969
Olmeca Silver,0.7875423157579386
Olmeca Gold,0.7875423157579402
Fernet / citrus,0.8075
Jagermeister,0.8075
Calvados,0.7879051827441587
Portske Royal Oporto,0.8075
SUMIVE VINO, Sparkling wine,0.95
ZUFANEK,0.95
Ristretto,0.7877237492510494
Latte macchiato,0.8075
Cappuccino,0.7877237492510463
Horka cokolada, Hot Chocolate, Schokolade,0.8075
Videnska kava,0.8075
Grog,0.768310365488311
Caj, Tea, Tee,0.8075
BILA VINA,0.95
WHITE WINES, WEISSWEINE,0.95
SPARKLING WINE, SCHAUMWEINE,0.8346839424805287
CERVENA VINA,0.95
RED WINES, ROTWEINE,0.95
