text,confidence
MENU,0.99
Lanyzova omacka / Truffle sauce,0.8182537435456121
POLEVKY / SOUPS,0.8415
Beef broth with noodles,0.7713267211703952
Soup of the day,0.7945729776247842
TESTOVINY / PASTA,0.8415
Penne Bolognese, parmesan,0.7717612306368336
Ceaser salat with chicken meat,0.818036488812393
Spaghetti Pomodoro, mozzarella Buffalo,0.8182537435456112
Herb crusted chicken supreme,0.7713267211703972
DEZERTY / DESSERTS,0.8415
Pork fillet neck steak Sous Vide,0.7701211703958694
Pan-Seared Pork tenderloin steak,0.9626514629948366
Rib Eye Steak,0.9076987951807239
