text,confidence
JIDELNI LISTEK,0.99
Lahvove Pivo / Bottled Beer,0.9428350308228369
Domaci limonada dle aktualni nabidky,0.99
Teple napoje / warm drinks,0.99
Mlecna cokolada se slehackou,0.99
Cokolada Grand Marnier,0.9583576789064598
Tequila El Jimador blanco, reposado,0.828136592066469
Irish whiskey,0.8954710533369065
Scotch blended,0.9111927097292946
Single malt whisky,0.9742783436076106
American whiskey,0.99
Cocktails,0.8795503886357549
Soft Cocktails,0.8950730367193741
Hennessy,0.99
COGNAC,0.8323854194585891
Jidelni listek,0.99
Vitame Vas,0.9428350308228334
Dekujeme Vam, nasim zakaznikum, za prizen,0.792
Nasi partneri,0.9585566872152202
FARMARSKY DUM,0.8415
Farma,0.99
Basarovi,0.99
Akvaponicka farma Lanov,0.99
s topinkami a cesnekem,0.8656330742428294
tenke platky prvotridni marinovane hovezi,0.9404999999999983
a zampionu, podavame s toasty,0.9405
koprovym olejem, s cuketou, pecenymi,0.8956932792816917
cherry rajcatky, bylinkova bagetka,0.9405
Polevky,0.99
Pasta,0.99
Parmezanem,0.8795503886357513
Salaty,0.99
bylinkova bagetka,0.9255644264272316
Parmezanem a pikantnim horcicnym dresingem,0.99
Ryby,0.99
podavany s pyre z batatu,0.9405
petrzelove brambory,0.9405
Domaci kuchyne,0.99
zemlovym knedlikem,0.8956932792816951
podavany s domacim zemlovym knedlikem,0.9404999999999974
Grill,0.99
brambory se slaninou,0.9255644264272299
a miso pastou,0.8053236062717757
bylinkovou bagetou,0.9255644264272316
grilovany klas,0.9405
cuketou,0.8057017220584288
slupce s cesnekovou smetanou,0.8656330742428278
Prilohy,0.99
Smazene bramborove hranolky,0.8281365920664696
Detska jidla,0.99
testoviny s domaci masovou smesi,0.8956932792816917
bramborove hranolky,0.9255644264272299
pyre z batatu,0.8805686478155985
TEL.: 605 886 863,0.8415
